note,auteur,avis,assureur,produit,type,date_publication,date_exp,avis_en,longueur_avis,avis_clean,avis_corrected,avis_en_clean
5.0,jean-philippe-p-109576,"Je suis satisfait du service, l'assurance a été rapidement mise en place et les tarifs sont plutôt corrects. J'aurais tout de même préféré envoyer les documents avant le règlement...",Direct Assurance,auto,train,08/04/2021,01/04/2021,"I am satisfied with the service, the insurance was quickly implemented and the prices are rather correct. I would still have preferred to send the documents before the regulations ...",182,je suis satisfait du service l'assurance a été rapidement mise en place et les tarifs sont plutôt corrects j'aurais tout de même préféré envoyer les documents avant le règlement,je suis satisfait du service l'assurance a été rapidement mise en place et les tarifs sont plutôt corrects j'aurais tout de même préféré envoyer les documents avant le règlement,"I am satisfied with the service, the insurance was quickly set up and the prices are quite reasonable, I would still have preferred to send the documents before payment"
4.0,jerome-g-123534,"Tarif correct avec de bonnes garanties. Pas encore eu besoin des services de l'assurance depuis ma souscription, tout va bien. L'actualisation du contrat par internet ne fonctionne pas.",Direct Assurance,auto,train,15/07/2021,01/07/2021,"Correct price with good guarantees. Not yet needed insurance services since my subscription, everything is fine. Updating the contract by internet does not work.",185,tarif correct avec de bonnes garanties pas encore eu besoin des services de l'assurance depuis ma souscription tout va bien l'actualisation du contrat par internet ne fonctionne pas,tarif correct avec de bonnes garanties pas encore eu besoin des services de l'assurance depuis ma souscription tout va bien l'actualisation du contrat par interne ne fonctionne pas,fair price with good guarantees not yet needed the insurance services since my subscription everything is fine the updating of the contract internally does not work
1.0,adrien-g-112065,"le service est bon et repond a nos attentes lors nottament d une discution telephonique.
le prix de mon assurance vehicule etant seulement au tiers , est bien trop elevée",Direct Assurance,auto,train,29/04/2021,01/04/2021,"The service is good and responds to our expectations when noting a telephonic discussion.
The price of my vehicle insurance being only at third party, is far too high",170,le service est bon et repond a nos attentes lors nottament d une discution telephonique le prix de mon assurance vehicule etant seulement au tiers est bien trop elevée,le service est bon et répond a nos attentes lors nettement d une discutions téléphonique le prix de mon assurance véhicule étant seulement au tiers est bien trop élevée,the service is good and meets our expectations clearly during a telephone discussion the price of my vehicle insurance being only at the third is far too high
1.0,vince-80449,"sinistre dégâts des eaux datant de mai 2019, impossible de relouer mon appartement depuis 5 mois, échéances mensuelles du prêt fait au CMUT de 900euros n'ont pas été reportées malgré ma demande, perte de loyers non prise en compte, devis inexistants, expertise mal faite etc. découvert chaque mois de plus en plus important car mon assureur n'assume pas ses responsabilités",Crédit Mutuel,habitation,train,27/10/2019,01/10/2019,"Sinister water damage dating from May 2019, impossible to re -turn my apartment for 5 months, monthly deadlines of the loan made to the CMUT of 900 euros have not been postponed despite my request, loss of rents not taken into account, non -existent quote, badly expertise made etc. discovered every month more and more important because my insurer does not assume its responsibilities",373,sinistre dégâts des eaux datant de mai 2019 impossible de relouer mon appartement depuis 5 mois échéances mensuelles du prêt fait au cmut de 900euros n'ont pas été reportées malgré ma demande perte de loyers non prise en compte devis inexistants expertise mal faite etc découvert chaque mois de plus en plus important car mon assureur n'assume pas ses responsabilités,sinistre dégâts des eaux datant de mai 2019 impossible de relouer mon appartement depuis 5 mois échéances mensuelles du prêt fait au chut de 900euros n'ont pas été reportées malgré ma demande perte de loyers non prise en compte devis inexistants expertise mal faite et découvert chaque mois de plus en plus important car mon assureur n'assume pas ses responsabilités,water damage disaster dating from May 2019 impossible to re-rent my apartment for 5 months monthly installments of the loan made at a cost of 900 euros have not been postponed despite my request loss of rent not taken into account non-existent quotes poorly done appraisal and overdraft more and more important each month because my insurer does not assume its responsibilities
5.0,ahmed-versailles-94284,"Le service client compétent, à l'écoute avec des tarifs très attractifs. Mon ancien assureur me faisait payer un prix exorbitant pour une voiture vieille de 15ans. J'ai réussi avec eux à réduire ma cotisation pour mon nouveau véhicule (qui est de surcroit neuf) et qui vaut dix fois plus le prix de mon ancien véhicule.",L'olivier Assurance,auto,train,16/07/2020,01/07/2020,"Competent customer service, listening with very attractive rates. My former insurer made me pay an exorbitant price for a 15 -year -old car. I managed to reduce my subscription with them for my new vehicle (which is also new) and which is worth ten times more the price of my old vehicle.",319,le service client compétent à l'écoute avec des tarifs très attractifs mon ancien assureur me faisait payer un prix exorbitant pour une voiture vieille de 15ans j'ai réussi avec eux à réduire ma cotisation pour mon nouveau véhicule qui est de surcroit neuf et qui vaut dix fois plus le prix de mon ancien véhicule,le service client compétent à l'écoute avec des tarifs très attractifs mon ancien assureur me faisait payer un prix exorbitant pour une voiture vieille de dans j'ai réussi avec eux à réduire ma cotisation pour mon nouveau véhicule qui est de surcroît neuf et qui vaut dix fois plus le prix de mon ancien véhicule,competent customer service attentive with very attractive prices my previous insurer made me pay an exorbitant price for an old car I managed with them to reduce my contribution for my new vehicle which is also new and which is worth ten times the price of my old vehicle
1.0,tess-139075,"J'ai reçus un appel tel ce jour ,un conseille complètement stresse et empressé qui m'indique que ma banque n'a pas validé mes assurances de la il me demande de confirme mon RIB et me demande le code d'activation 
Dans la précipitation étant dans la rue je le reprend car je le trouve très directif et autoritaire d'où le  doute .
Il m'indique qu'une collègue va me tel pour confirme la validation 
J'appelle donc rapidement mon conseiller en banque pour lui faire part du doute de la démarche et celui-ci me dis qu'il n'y a aucuns compte décrit  
Méfiez vous de leur démarche téléphonique 
il je nous laisse pas le temps de réagir prise sur le fait et enchaîne sur leur lecture de vente  forcing confirme vous n'avez pas le temps de comprendre  
Vous signe et vous vous retrouvé avec des contrats souscrit alors que vous en avez déjà ailleurs .
Ils disent que vos contrat ne sont pas validé ou activé gros mensonge 
La sois disante conseillère qui m'a recontacté après m'a confirmé l'annulation des contrat a suivre ",Eca Assurances,animaux,train,05/11/2021,01/11/2021,"I received a call such this day, a completely stress and eager advice which tells me that my bank did not validate my insurance of the Il asks me to confirm my rib and ask me for the activation code
In the precipitation being in the street I take it back because I find it very directive and authoritarian hence doubt.
He tells me that a colleague goes to me to confirm the validation
I therefore quickly call my bank advisor to let him know the doubt of the process and this one tells me that there is no account described
Beware of their telephone process
He I don't give us time to react to the fact and follows on their forcing sales reading confirms you don't have time to understand
You are signing and you end up with subscribed contracts while you already have them elsewhere.
They say your contracts are not validated or activated big lie
The being said advisor who contacted me after confirmed the cancellation of the contracts to follow",1016,j'ai reçus un appel tel ce jour un conseille complètement stresse et empressé qui m'indique que ma banque n'a pas validé mes assurances de la il me demande de confirme mon rib et me demande le code d'activation dans la précipitation étant dans la rue je le reprend car je le trouve très directif et autoritaire d'où le doute il m'indique qu'une collègue va me tel pour confirme la validation j'appelle donc rapidement mon conseiller en banque pour lui faire part du doute de la démarche et celui-ci me dis qu'il n'y a aucuns compte décrit méfiez vous de leur démarche téléphonique il je nous laisse pas le temps de réagir prise sur le fait et enchaîne sur leur lecture de vente forcing confirme vous n'avez pas le temps de comprendre vous signe et vous vous retrouvé avec des contrats souscrit alors que vous en avez déjà ailleurs ils disent que vos contrat ne sont pas validé ou activé gros mensonge la sois disante conseillère qui m'a recontacté après m'a confirmé l'annulation des contrat a suivre,j'ai reçus un appel tel ce jour un conseille complètement stressé et empressé qui m'indique que ma banque n'a pas validé mes assurances de la il me demande de confirme mon riz et me demande le code d'activation dans la précipitation étant dans la rue je le reprend car je le trouve très directif et autoritaire d'où le doute il m'indique qu'une collègue va me tel pour confirme la validation j'appelle donc rapidement mon conseiller en banque pour lui faire part du doute de la démarche et celui-ci me dis qu'il n'y a aucuns compte décrit méfiez vous de leur démarche téléphonique il je nous laisse pas le temps de réagir prise sur le fait et enchaîne sur leur lecture de vente forcing confirme vous n'avez pas le temps de comprendre vous signe et vous vous retrouvé avec des contrats souscrit alors que vous en avez déjà ailleurs ils disent que vos contrat ne sont pas validé ou activé gros mensonge la sois disant conseillère qui m'a contacté après m'a confirmé l'annulation des contrat a suivre,"I received a call today from a completely stressed and hasty advisor who tells me that my bank has not validated my insurance and he asks me to confirm my rice and asks me for the activation code in a hurry being in the street I take it back because I find him very directive and authoritarian hence the doubt he tells me that a colleague is going to call me to confirm the validation so I quickly call my bank advisor to tell him about the doubt in the process and he tells me that there are no accounts described, be wary of their telephone approach, I don't give us time to react, caught in the fact and continues with their reading of sales forcing confirms you do not have time to understand you sign and you find yourself with contracts subscribed while you already have elsewhere they say that your contracts are not validated or activated big lie the so-called advisor who contacted me after confirmed the cancellation of the contracts to follow"
4.0,ilgenmann-l-110279,"Je suis très satisfait du service et du prix , en espérant obtenir un meilleur prix l'année prochaine . merci a vous très bonne accueille téléphonique !",L'olivier Assurance,auto,train,13/04/2021,01/04/2021,"I am very satisfied with the service and the price, hoping to obtain a better price next year. Thank you to you very good telephone welcome!",152,je suis très satisfait du service et du prix en espérant obtenir un meilleur prix l'année prochaine merci a vous très bonne accueille téléphonique,je suis très satisfait du service et du prix en espérant obtenir un meilleur prix l'année prochaine merci a vous très bonne accueille téléphonique,I am very satisfied with the service and the price hoping to get a better price next year thank you very good telephone reception
1.0,jobiker-105121,"Je suis plus que déçue du service d'ALLIANZ !!! 
J'ai souscrit à une assurance en janvier et j'ai fournis tout les documents, deux fois.
ils ont résilier mon contrat depuis le 22 février pour défaut de justificatif, et je ne l'ai su qu'hier, c’est scandaleux !!! 
personne ne peut me donner de réponse quand j'appelle. On m'as dit ""ca peut arriver parce que nous avons beaucoup de client"" IL FAUT SAVOIR ASSUMER SES CLIENTS
Et si j'avais eu un accident ? ",Allianz,auto,train,02/03/2021,01/03/2021,"I am more than disappointed with the Allianz service !!!
I subscribed to insurance in January and I provided all the documents, twice.
They have terminated my contract since February 22 for lack of proof, and I only knew it, it's scandalous !!!
No one can give me an answer when I call. I was told ""it can happen because we have a lot of customers"" you have to know how to assume its customers
What if I had an accident?",455,je suis plus que déçue du service d'allianz j'ai souscrit à une assurance en janvier et j'ai fournis tout les documents deux fois ils ont résilier mon contrat depuis le 22 février pour défaut de justificatif et je ne l'ai su qu'hier c'est scandaleux personne ne peut me donner de réponse quand j'appelle on m'as dit ca peut arriver parce que nous avons beaucoup de client il faut savoir assumer ses clients et si j'avais eu un accident,je suis plus que déçue du service d'allianz j'ai souscrit à une assurance en janvier et j'ai fournis tout les documents deux fois ils ont résilier mon contrat depuis le 22 février pour défaut de justificatif et je ne l'ai su qu'hier c'est scandaleux personne ne peut me donner de réponse quand j'appelle on m'as dit ca peut arriver parce que nous avons beaucoup de client il faut savoir assumer ses clients et si j'avais eu un accident,I am more than disappointed with the Allianz service I took out insurance in January and I provided all the documents twice they have terminated my contract since February 22 for lack of proof and I only found out yesterday it is scandalous no one can give me an answer when I call I was told it could happen because we have a lot of customers you have to know how to take responsibility for your customers and if I had had an accident
1.0,quinquin-136715,"Je déconseille fortement cette compagnie d'assurance pour plusieurs raisons:
- sur le relevé d'information seul le bonus moto est retenu contrairement à la concurrence qui se base sur le bonus auto si celui-ci est meilleur
-augmentation de la cotisation par 3 suite à un changement de moto de même marque mais modèle plus récent, soit 200 euros plus chère que la concurrence
-une résiliation de contrat que je n'ai pas demandé (certainement une erreur informatique...)",APRIL Moto,moto,train,09/10/2021,01/08/2021,"I strongly advise against this insurance company for several reasons:
- on the information statement alone the motorcycle bonus is retained unlike the competition which is based on the car bonus if it is better
-Agrement of the contribution in 3 following a change of motorcycle of the same brand but more recent model, or 200 euros more expensive than competition
-A contract termination that I did not ask (certainly a computer error ...)",468,je déconseille fortement cette compagnie d'assurance pour plusieurs raisons - sur le relevé d'information seul le bonus moto est retenu contrairement à la concurrence qui se base sur le bonus auto si celui-ci est meilleur -augmentation de la cotisation par 3 suite à un changement de moto de même marque mais modèle plus récent soit 200 euros plus chère que la concurrence -une résiliation de contrat que je n'ai pas demandé certainement une erreur informatique,je déconseille fortement cette compagnie d'assurance pour plusieurs raisons - sur le relevé d'information seul le bonus moto est retenu contrairement à la concurrence qui se base sur le bonus auto si celui-ci est meilleur augmentation de la cotisation par 3 suite à un changement de moto de même marque mais modèle plus récent soit 200 euros plus chère que la concurrence une résiliation de contrat que je n'ai pas demandé certainement une erreur informatique,I strongly advise against this insurance company for several reasons - on the information statement only the motorcycle bonus is retained unlike the competition which is based on the car bonus if this is better increase in the contribution by 3 following a change of motorcycle of the same brand but more recent model i.e. 200 euros more expensive than the competition a termination of contract that I did not ask for certainly a computer error
1.0,mariam--108526,"Très  insatisfaite de harmonie mutuelle,  les remboursements peinent à arriver et encore, il faut fournir toujours des justificatifs dont elle a accès mais ne fait aucun effort. Demande toujours des factures acquittées et des factures  détaillées. En gros je dois payer leurs échéances et en même temps m'acquitter des factures de soins. Hâte de voir ailleurs. ",Harmonie Mutuelle,sante,train,30/03/2021,01/03/2021,"Very unsatisfied with mutual harmony, the reimbursements are struggling to arrive and again, it is necessary to always provide supporting documents which it has but makes no effort. Always request paid invoices and detailed invoices. Basically I have to pay their deadlines and at the same time pay for care invoices. Look forward to seeing elsewhere.",361,très insatisfaite de harmonie mutuelle les remboursements peinent à arriver et encore il faut fournir toujours des justificatifs dont elle a accès mais ne fait aucun effort demande toujours des factures acquittées et des factures détaillées en gros je dois payer leurs échéances et en même temps m'acquitter des factures de soins hâte de voir ailleurs,très insatisfaite de harmonie mutuelle les remboursements peinent à arriver et encore il faut fournir toujours des justificatifs dont elle a accès mais ne fait aucun effort demande toujours des factures acquittées et des factures détaillées en gros je dois payer leurs échéances et en même temps m'acquitter des factures de soins hâte de voir ailleurs,"very dissatisfied with mutual harmony, reimbursements are difficult to arrive and still it is necessary to always provide supporting documents to which she has access but makes no effort always asks for paid invoices and detailed invoices in bulk I have to pay their due dates and at the same time pay the treatment invoices looking forward to seeing elsewhere"
4.0,richard-r-115997,"Conseillé très sympas, par contre a chaque appel une demande satisfaction clientèle qui a la longue peut être énervant. Sinon dans l'ensemble satisfait pour l'instant.
Merci                              ",L'olivier Assurance,auto,train,04/06/2021,01/06/2021,"Recommended very nice, on the other hand at each call a request customer satisfaction which has long can be annoying. Otherwise overall satisfied for the moment.
Thanks",203,conseillé très sympas par contre a chaque appel une demande satisfaction clientèle qui a la longue peut être énervant sinon dans l'ensemble satisfait pour l'instant merci,conseillé très sympas par contre a chaque appel une demande satisfaction clientèle qui a la longue peut être énervant sinon dans l'ensemble satisfait pour l'instant merci,recommended very nice on the other hand with each call a customer satisfaction request which in the long run can be annoying otherwise overall satisfied for the moment thank you
3.0,deborah-93922,"Je suis satisfaite du service, je ne suis pas tout à fait satisfaite du prix
Je souhaite voir pour assurer les 4 véhicules chez vous, mon conjoint étant assuré chez vous et très sastisfait ",Direct Assurance,auto,train,13/07/2020,01/07/2020,"I am satisfied with the service, I am not completely satisfied with the price
I want to see to ensure the 4 vehicles at home, my spouse being insured at home and very Sastisfit",189,je suis satisfaite du service je ne suis pas tout à fait satisfaite du prix je souhaite voir pour assurer les 4 véhicules chez vous mon conjoint étant assuré chez vous et très sastisfait,je suis satisfaite du service je ne suis pas tout à fait satisfaite du prix je souhaite voir pour assurer les 4 véhicules chez vous mon conjoint étant assuré chez vous et très satisfait,I am satisfied with the service I am not entirely satisfied with the price I would like to see about insuring the 4 vehicles with you my partner is insured with you and very satisfied
4.0,beche-s-130771,"simple et pratique je suis satisfais de la rapidité de réaction des conseillées. 
les prix sont attractif ainsi que les prestations proposer par l'olivier assurance.  ",L'olivier Assurance,auto,train,02/09/2021,01/09/2021,"Simple and practical I am satisfied with the speed of reaction of the advisers.
The prices are attractive as well as the services offer by the olive assurance.",167,simple et pratique je suis satisfais de la rapidité de réaction des conseillées les prix sont attractif ainsi que les prestations proposer par l'olivier assurance,simple et pratique je suis satisfais de la rapidité de réaction des conseillées les prix sont attractif ainsi que les prestations proposer par l'olivier assurance,simple and practical I am satisfied with the speed of reaction of those recommended the prices are attractive as well as the services offered by Olivier Assurance
5.0,domi-111402,"Un grand merci à Pape qui a répondu avec efficacité à ma demande.
Très courtois au téléphone, aimable, il a su gérer mon dossier avec rapidité. Bonne journée.",Néoliane Santé,sante,train,23/04/2021,01/04/2021,"A big thank you to Pope who responded efficiently to my request.
Very courteous on the phone, kind, he managed to manage my file quickly. Have a good day.",158,un grand merci à pape qui a répondu avec efficacité à ma demande très courtois au téléphone aimable il a su gérer mon dossier avec rapidité bonne journée,un grand merci à pape qui a répondu avec efficacité à ma demande très courtois au téléphone aimable il a su gérer mon dossier avec rapidité bonne journée,"a big thank you to Pope who responded efficiently to my request, very courteous on the phone, friendly, he was able to manage my file quickly, have a good day"
4.0,virginie-d-112528,"simple et pratique , j'ai souscrit en ligne de façon très rapide et sans difficultés majeures.
j'attends de voir la suite du traitement de mon dossier.",Direct Assurance,auto,train,04/05/2021,01/05/2021,"Simple and practical, I subscribed online very quickly and without major difficulties.
I am waiting to see the rest of the processing of my file.",151,simple et pratique j'ai souscrit en ligne de façon très rapide et sans difficultés majeures j'attends de voir la suite du traitement de mon dossier,simple et pratique j'ai souscrit en ligne de façon très rapide et sans difficultés majeures j'attends de voir la suite du traitement de mon dossier,simple and practical I subscribed online very quickly and without major difficulties I am waiting to see how my file is processed
2.0,tom-103912,"Les publicités qui passe a la tv sont des mensonges, il y a personnes pour vous écouter ou accompagner.
Les seules fois ou j'ai essayer de les contacter pour savoir ou en ais mon dossier pour un sinistre auto, je me fais remballer comme une m***e, excusez moi pour ce terme mais c'est le sentiments que j'ai eu.
Cela fais 2 semaines.
J'appelle un numéro expert joint dans un mail.
Et la au bout d'insistance pour que une personne décroche, une femme nathalie me répond un peu sec sans bonjour.
Oui la politesse c'est pas donner a tout le monde malheureusement.
J'explique la situation et la elle me stoppe en disant que ce probleme ne lui concerne pas et que pour le moment c'est en cours d'examination et elle décroche en répondant vaguement a mes questions, je suis rester sans voix aprés ça!!!!!
On se sent accuser pour des crimes non commises.
Moi qui suis une personne anxieux, ça me donne pas envie de les recontacter pour l'avancement qui sûrement sera une personne différente a expliquer le problème, si elle veut bien.   
Il y a pas cette proximité comme mon ancien assureur avec des gens aimable et a l'écoute et en physique. 
Une fois cette histoire fini, je retourne a mon ancien assureur
De mon avis personnel, je vous déconseille, c'est comme prendre une assurance en ligne avec personne a votre écoute",MAIF,auto,train,09/02/2021,01/02/2021,"The advertisements that pass on TV are lies, there are people to listen to you or accompany you.
The only times or I have tried to contact them to find out or in my file for a self -listed disaster, I have it repaired like a m *** e, excuse me for this term but it is the feelings that I have eu.
It's been 2 weeks.
I call an expert number joined in an email.
And the end of insistence so that a person picks up, a woman Nathalie answers me a little dry without hello.
Yes politeness is not to give to everyone unfortunately.
I explain the situation and she stops me saying that this problem does not concern her and that for the moment it is being examined and she won by vaguely answer my questions, I am speechless after that! !!!!
We feel accusing ourselves for crimes not committed.
I who am an anxious person, it does not make me want to contact them for the advancement which will surely be a different person to explain the problem, if they want.
There is not this proximity as my old insurer with kind and listening and physics.
Once this story is finished, I go back to my former insurer
In my personal opinion, I do not recommend it, it's like taking online insurance with anyone listening to you",1316,les publicités qui passe a la tv sont des mensonges il y a personnes pour vous écouter ou accompagner les seules fois ou j'ai essayer de les contacter pour savoir ou en ais mon dossier pour un sinistre auto je me fais remballer comme une m e excusez moi pour ce terme mais c'est le sentiments que j'ai eu cela fais 2 semaines j'appelle un numéro expert joint dans un mail et la au bout d'insistance pour que une personne décroche une femme nathalie me répond un peu sec sans bonjour oui la politesse c'est pas donner a tout le monde malheureusement j'explique la situation et la elle me stoppe en disant que ce probleme ne lui concerne pas et que pour le moment c'est en cours d'examination et elle décroche en répondant vaguement a mes questions je suis rester sans voix aprés ça on se sent accuser pour des crimes non commises moi qui suis une personne anxieux ça me donne pas envie de les recontacter pour l'avancement qui sûrement sera une personne différente a expliquer le problème si elle veut bien il y a pas cette proximité comme mon ancien assureur avec des gens aimable et a l'écoute et en physique une fois cette histoire fini je retourne a mon ancien assureur de mon avis personnel je vous déconseille c'est comme prendre une assurance en ligne avec personne a votre écoute,les publicités qui passe a la tv sont des mensonges il y a personnes pour vous écouter ou accompagner les seules fois ou j'ai essayer de les contacter pour savoir ou en mais mon dossier pour un sinistre auto je me fais remballer comme une m e excusez moi pour ce terme mais c'est le sentiments que j'ai eu cela fais 2 semaines j'appelle un numéro expert joint dans un mais et la au bout d'insistance pour que une personne décroche une femme natale me répond un peu sec sans bonjour oui la politesse c'est pas donner a tout le monde malheureusement j'explique la situation et la elle me stoppe en disant que ce problème ne lui concerne pas et que pour le moment c'est en cours d'examination et elle décroche en répondant vaguement a mes questions je suis rester sans voix après ça on se sent accuser pour des crimes non commises moi qui suis une personne anxieux ça me donne pas envie de les contacter pour l'avancement qui sûrement sera une personne différente a expliquer le problème si elle veut bien il y a pas cette proximité comme mon ancien assureur avec des gens aimable et a l'écoute et en physique une fois cette histoire fini je retourne a mon ancien assureur de mon avis personnel je vous déconseille c'est comme prendre une assurance en ligne avec personne a votre écoute,the advertisements that appear on TV are lies there are people to listen to you or accompany you the only times I have tried to contact them to find out where in but my file for a car accident I am being packaged like a m e excuse me for this term but that's the feeling I had it's been 2 weeks I call an expert number attached in a but and after insisting that a person pick up a native woman answers me a little curtly without hello yes politeness is not give to everyone unfortunately I explain the situation and then she stops me by saying that this problem does not concern her and that for the moment it is being examined and she picks up by answering vaguely to my questions I am left speechless after that we feel accused for crimes not committed me who is an anxious person it does not make me want to contact them for advancement who surely will be a different person to explain the problem if they are willing there is not this proximity like my former insurer with kind and friendly people listening and in physics once this story is finished I am going back to my old insurer in my personal opinion I do not recommend it is like taking insurance online with no one listening to you
4.0,druzicka86-72447,"ancien client nexx 2010 a 2017 puis maaf 2017 a 2019, 2 sinistres NR et tous pris en charge! pret de voiture pendant 6 mois, rien a dire, le top au niveau garantie et meme dans les pays de l'est.
Sauf que suite a la vente de ma mondeo il refuse de me reprendre!...je suis triste",MAAF,auto,train,25/03/2019,01/03/2019,"Former client Nexx 2010 at 2017 then Maaf 2017 at 2019, 2 NR claims and all supported! car loan for 6 months, nothing to say, the top at the guaranteed level and even in the countries of the East.
Except that following the sale of my world, he refuses to take me back! ... I am sad",278,ancien client nexx 2010 a 2017 puis maaf 2017 a 2019 2 sinistres nr et tous pris en charge pret de voiture pendant 6 mois rien a dire le top au niveau garantie et meme dans les pays de l'est sauf que suite a la vente de ma mondeo il refuse de me reprendre je suis triste,ancien client ne 2010 a 2017 puis maaf 2017 a 2019 2 sinistres nr et tous pris en charge prêt de voiture pendant 6 mois rien a dire le top au niveau garantie et même dans les pays de l'est sauf que suite a la vente de ma monde il refuse de me reprendre je suis triste,former customer 2010 to 2017 then maaf 2017 to 2019 2 claims nr and all taken care of car loan for 6 months nothing to say the best in terms of warranty and even in eastern countries except that following the sale of my world he refuses to take me back I am sad
3.0,chantal-g-137470,"JE SUIS ASSEZ SATISFAITE RAPIDITE SIMPLICITE TARIF PLUTOT MOYEN;
toUT EST PLUS BIEN EXPLIUQUE ET COMPREHENSIBLE
VOILA C EST TOUT CE QUE J AI A DIRE MERCI",APRIL Moto,moto,train,14/10/2021,01/10/2021,"I am quite satisfied rapidite simplicity rate rather average;
Everything is more well explained and understandable
Here is all I have to say thank you",153,je suis assez satisfaite rapidite simplicite tarif plutot moyen tout est plus bien expliuque et comprehensible voila c est tout ce que j ai a dire merci,je suis assez satisfaite rapidité simplicité tarif plutôt moyen tout est plus bien explique et compréhensible voila c est tout ce que j ai a dire merci,I am quite satisfied speed simplicity rather average price everything is more well explained and understandable that's all I have to say thank you
2.0,patrick-104983,"Mutuelle d'assurance qui n'est pas à l'écoute de sa clientèle. Fortement déçu alors que j'étais chez eux depuis 40 ans , je me vois dans l'obligation de les quitter avec regret.",MACIF,auto,train,01/03/2021,01/03/2021,"Insurance mutual that is not attentive to its customers. Strongly disappointed while I was at home for 40 years, I see myself in the obligation to leave them with regret.",177,mutuelle d'assurance qui n'est pas à l'écoute de sa clientèle fortement déçu alors que j'étais chez eux depuis 40 ans je me vois dans l'obligation de les quitter avec regret,mutuelle d'assurance qui n'est pas à l'écoute de sa clientèle fortement déçu alors que j'étais chez eux depuis 40 ans je me vois dans l'obligation de les quitter avec regret,"mutual insurance company which does not listen to its customers, very disappointed even though I have been with them for 40 years I see myself obliged to leave them with regret"
5.0,lantoine-c-110988,"Je trouve que l'olivier assurance est :
- Rapidité pour avoir un devis,
- Retour assez rapide,
- Tarif très attractif,
- Service de qualité,
- Délai de réponse rapide",L'olivier Assurance,auto,train,20/04/2021,01/04/2021,"I find that the olive assurance is:
- speed to have a quote,
- Return fairly fast,
- Very attractive price,
- Quality service,
- Quick response time",166,je trouve que l'olivier assurance est - rapidité pour avoir un devis - retour assez rapide - tarif très attractif - service de qualité - délai de réponse rapide,je trouve que l'olivier assurance est - rapidité pour avoir un devis - retour assez rapide - tarif très attractif - service de qualité - délai de réponse rapide,I find that Olivier Assurance is - quick to get a quote - fairly quick return - very attractive price - quality service - quick response time
1.0,pavinou-69844,"Très mauvais placement de ma part avec un rendement négatif pour l'année 2018 de -7,4% sur un mandat défensif en gestion pilotée!!
Je déconseillerai sans réserve ce produit surexposé en termes de publicités. ",Generali,vie,train,03/01/2019,01/01/2019,"Very bad placement on my part with a negative return for the year 2018 of -7.4% on a defensive mandate in controlled management !!
I will not recommend this overexposed product in terms of advertisements.",208,très mauvais placement de ma part avec un rendement négatif pour l'année 2018 de -7 4 sur un mandat défensif en gestion pilotée je déconseillerai sans réserve ce produit surexposé en termes de publicités,très mauvais placement de ma part avec un rendement négatif pour l'année 2018 de -7 4 sur un mandat défensif en gestion pilotée je déconseillerai sans réserve ce produit surexposé en termes de publicités,very bad investment on my part with a negative return for the year 2018 of -7 4 on a defensive mandate in managed management I would unreservedly advise against this overexposed product in terms of advertising
5.0,luc-i-124155,JE SUIS SATISFAIT DU SERVICE SIMPLE ET PRATIQUE LES TARIFS D ASSURANCE SONT CORRECT LA COMMUNICATION EST TRES BONNE                                   ,APRIL Moto,moto,train,21/07/2021,01/07/2021,I am satisfied with the simple and practical service The insurance rates are correct communication is very good,150,je suis satisfait du service simple et pratique les tarifs d assurance sont correct la communication est tres bonne,je suis satisfait du service simple et pratique les tarifs d assurance sont correct la communication est très bonne,I am satisfied with the simple and practical service the insurance rates are correct the communication is very good
1.0,radidja-b-108512,J'attends de voir les offres exceptionnelles tant promises. J'attends de voir les offres qui peuvent me faire changer d'avis à l'avenir. Bref pas d'avis favorable pour l'instant,Direct Assurance,auto,train,30/03/2021,01/03/2021,"I am waiting to see the exceptional offers so promised. I am waiting to see the offers that can make me change my mind in the future. In short, no favorable opinion for the moment",177,j'attends de voir les offres exceptionnelles tant promises j'attends de voir les offres qui peuvent me faire changer d'avis à l'avenir bref pas d'avis favorable pour l'instant,j'attends de voir les offres exceptionnelles tant promises j'attends de voir les offres qui peuvent me faire changer d'avis à l'avenir bref pas d'avis favorable pour l'instant,I am waiting to see the exceptional offers so promised I am waiting to see the offers which may make me change my mind in the future in short no favorable opinion for the moment
